26 Sep 2023 | 01:38:21,372 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:38:21,372 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:39:26,333 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:39:26,335 | DEBUG | pool-2-thread-1 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:39:26,342 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:39:26,345 | DEBUG | pool-2-thread-1 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:39:26,371 | DEBUG | pool-2-thread-5 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:39:26,372 | DEBUG | pool-2-thread-5 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:40:31,375 | DEBUG | pool-2-thread-4 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:40:31,376 | DEBUG | pool-2-thread-4 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:40:31,382 | DEBUG | pool-2-thread-5 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:40:31,463 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:40:31,478 | DEBUG | pool-2-thread-5 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:40:31,560 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:41:36,333 | DEBUG | pool-2-thread-10 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:41:36,336 | DEBUG | pool-2-thread-5 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:41:36,337 | DEBUG | pool-2-thread-10 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:41:36,340 | DEBUG | pool-2-thread-5 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:41:36,372 | DEBUG | pool-2-thread-1 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:41:36,372 | DEBUG | pool-2-thread-1 | rmq | TOP WIN XU MD5: 0
